BBN, Tritium decay, in eV^-1 cm^-2 s^-1 	

    Energy[eV]         Flux   
   3.7000000e-04   1.2593000e-04
   3.8000000e-04   1.2923000e-04
   3.9000000e-04   1.3252000e-04
   4.0000000e-04   1.3582000e-04
   4.1000000e-04   1.3913000e-04
   4.2000000e-04   1.4244000e-04
   4.3000000e-04   1.4574000e-04
   4.4000000e-04   1.4906000e-04
   4.5000000e-04   1.5237000e-04
   4.6000000e-04   1.5568000e-04
   4.7000000e-04   1.5899000e-04
   4.8000000e-04   1.6231000e-04
   4.9000000e-04   1.6562000e-04
   5.0000000e-04   1.6894000e-04
   5.1000000e-04   1.7225000e-04
   5.2000000e-04   1.7557000e-04
   5.3000000e-04   1.7888000e-04
   5.4000000e-04   1.8220000e-04
   5.5000000e-04   1.8551000e-04
   5.6000000e-04   1.8882000e-04
   5.7000000e-04   1.9213000e-04
   5.8000000e-04   1.9544000e-04
   5.9000000e-04   1.9875000e-04
   6.0000000e-04   2.0205000e-04
   6.1000000e-04   2.0536000e-04
   6.2000000e-04   2.0866000e-04
   6.3000000e-04   2.1197000e-04
   6.4000000e-04   2.1527000e-04
   6.5000000e-04   2.1857000e-04
   6.6000000e-04   2.2186000e-04
   6.7000000e-04   2.2516000e-04
   6.8000000e-04   2.2845000e-04
   6.9000000e-04   2.3175000e-04
   7.0000000e-04   2.3504000e-04
   7.1000000e-04   2.3833000e-04
   7.2000000e-04   2.4161000e-04
   7.3000000e-04   2.4490000e-04
   7.4000000e-04   2.4818000e-04
   7.5000000e-04   2.5146000e-04
   7.6000000e-04   2.5474000e-04
   7.7000000e-04   2.5802000e-04
   7.8000000e-04   2.6130000e-04
   7.9000000e-04   2.6457000e-04
   8.0000000e-04   2.6784000e-04
   8.1000000e-04   2.7111000e-04
   8.2000000e-04   2.7438000e-04
   8.3000000e-04   2.7765000e-04
   8.4000000e-04   2.8091000e-04
   8.5000000e-04   2.8417000e-04
   8.6000000e-04   2.8743000e-04
   8.7000000e-04   2.9069000e-04
   8.8000000e-04   2.9395000e-04
   8.9000000e-04   2.9720000e-04
   9.0000000e-04   3.0045000e-04
   9.1000000e-04   3.0370000e-04
   9.2000000e-04   3.0695000e-04
   9.3000000e-04   3.1020000e-04
   9.4000000e-04   3.1344000e-04
   9.5000000e-04   3.1669000e-04
   9.6000000e-04   3.1993000e-04
   9.7000000e-04   3.2317000e-04
   9.8000000e-04   3.2640000e-04
   9.9000000e-04   3.2964000e-04
   1.0000000e-03   3.3287000e-04
   1.1000000e-03   3.6509000e-04
   1.2000000e-03   3.9711000e-04
   1.3000000e-03   4.2894000e-04
   1.4000000e-03   4.6058000e-04
   1.5000000e-03   4.9202000e-04
   1.6000000e-03   5.2328000e-04
   1.7000000e-03   5.5434000e-04
   1.8000000e-03   5.8522000e-04
   1.9000000e-03   6.1591000e-04
   2.0000000e-03   6.4642000e-04
   2.1000000e-03   6.7674000e-04
   2.2000000e-03   7.0688000e-04
   2.3000000e-03   7.3684000e-04
   2.4000000e-03   7.6661000e-04
   2.5000000e-03   7.9620000e-04
   2.6000000e-03   8.2562000e-04
   2.7000000e-03   8.5485000e-04
   2.8000000e-03   8.8391000e-04
