Geoneutrinos, in eV^-1 cm^-2 s^-1

    Energy [eV]        Flux 
   2.8850000e+05   6.7854000e+01
   2.8950000e+05   6.8105000e+01
   2.9050000e+05   6.8355000e+01
   2.9150000e+05   6.8604000e+01
   2.9250000e+05   6.8850000e+01
   2.9350000e+05   6.9096000e+01
   2.9450000e+05   6.9342000e+01
   2.9550000e+05   6.9588000e+01
   2.9650000e+05   6.9834000e+01
   2.9750000e+05   7.0079000e+01
   2.9850000e+05   7.0325000e+01
   2.9950000e+05   7.0570000e+01
   3.0050000e+05   7.0815000e+01
   3.0150000e+05   7.1058000e+01
   3.0250000e+05   7.1298000e+01
   3.0350000e+05   7.1538000e+01
   3.0450000e+05   7.1778000e+01
   3.0550000e+05   7.2017000e+01
   3.0650000e+05   7.2257000e+01
   3.0750000e+05   7.2496000e+01
   3.0850000e+05   7.2735000e+01
   3.0950000e+05   7.2974000e+01
   3.1050000e+05   7.3212000e+01
   3.1150000e+05   7.3449000e+01
   3.1250000e+05   7.3683000e+01
   3.1350000e+05   7.3916000e+01
   3.1450000e+05   7.4149000e+01
   3.1550000e+05   7.4382000e+01
   3.1650000e+05   7.4615000e+01
   3.1750000e+05   7.4848000e+01
   3.1850000e+05   7.5080000e+01
   3.1950000e+05   7.5312000e+01
   3.2050000e+05   7.5544000e+01
   3.2150000e+05   7.5774000e+01
   3.2250000e+05   7.6001000e+01
   3.2350000e+05   7.6228000e+01
   3.2450000e+05   7.6455000e+01
   3.2550000e+05   7.6681000e+01
   3.2650000e+05   7.6907000e+01
   3.2750000e+05   7.7133000e+01
   3.2850000e+05   7.7358000e+01
   3.2950000e+05   7.7572000e+01
   3.3050000e+05   7.7797000e+01
   3.3150000e+05   7.8009000e+01
   3.3250000e+05   7.8230000e+01
   3.3350000e+05   7.8450000e+01
   3.3450000e+05   7.8671000e+01
   3.3550000e+05   5.9626000e+01
   3.3650000e+05   5.9787000e+01
   3.3750000e+05   5.9949000e+01
   3.3850000e+05   6.0110000e+01
   3.3950000e+05   6.0272000e+01
   3.4050000e+05   6.0434000e+01
   3.4150000e+05   6.0594000e+01
   3.4250000e+05   6.0751000e+01
   3.4350000e+05   6.0909000e+01
   3.4450000e+05   6.1066000e+01
   3.4550000e+05   6.1223000e+01
   3.4650000e+05   6.1381000e+01
   3.4750000e+05   6.1538000e+01
   3.4850000e+05   6.1696000e+01
   3.4950000e+05   6.1853000e+01
   3.5050000e+05   6.2011000e+01
   3.5150000e+05   6.2167000e+01
   3.5250000e+05   6.2320000e+01
   3.5350000e+05   6.2474000e+01
   3.5450000e+05   6.2627000e+01
   3.5550000e+05   6.2781000e+01
   3.5650000e+05   6.2934000e+01
   3.5750000e+05   6.3088000e+01
   3.5850000e+05   6.3241000e+01
   3.5950000e+05   6.3395000e+01
   3.6050000e+05   6.3548000e+01
   3.6150000e+05   6.3700000e+01
   3.6250000e+05   6.3849000e+01
   3.6350000e+05   6.3999000e+01
   3.6450000e+05   6.4148000e+01
   3.6550000e+05   6.4297000e+01
   3.6650000e+05   6.4447000e+01
   3.6750000e+05   6.4562000e+01
   3.6850000e+05   6.4711000e+01
   3.6950000e+05   6.4850000e+01
   3.7050000e+05   6.4999000e+01
   3.7150000e+05   6.5147000e+01
   3.7250000e+05   6.5292000e+01
   3.7350000e+05   6.5437000e+01
   3.7450000e+05   6.5582000e+01
   3.7550000e+05   6.5727000e+01
   3.7650000e+05   6.5872000e+01
   3.7750000e+05   6.6018000e+01
   3.7850000e+05   6.6163000e+01
   3.7950000e+05   6.6308000e+01
   3.8050000e+05   6.6453000e+01
   3.8150000e+05   6.6596000e+01
   3.8250000e+05   6.6737000e+01
   3.8350000e+05   6.6810000e+01
   3.8450000e+05   6.6951000e+01
   3.8550000e+05   6.7091000e+01
   3.8650000e+05   6.7232000e+01
   3.8750000e+05   6.7373000e+01
   3.8850000e+05   6.7514000e+01
   3.8950000e+05   6.7655000e+01
   3.9050000e+05   6.7796000e+01
   3.9150000e+05   6.7936000e+01
   3.9250000e+05   6.8050000e+01
   3.9350000e+05   6.8187000e+01
   3.9450000e+05   6.8324000e+01
   3.9550000e+05   6.8462000e+01
   3.9650000e+05   6.8599000e+01
   3.9750000e+05   6.8736000e+01
   3.9850000e+05   6.8873000e+01
   3.9950000e+05   6.9010000e+01
   4.0050000e+05   6.9147000e+01
   4.0150000e+05   6.9283000e+01
   4.0250000e+05   6.9416000e+01
   4.0350000e+05   6.9253000e+01
   4.0450000e+05   6.9386000e+01
   4.0550000e+05   6.9518000e+01
   4.0650000e+05   6.9651000e+01
   4.0750000e+05   6.9783000e+01
   4.0850000e+05   6.9916000e+01
   4.0950000e+05   7.0048000e+01
   4.1050000e+05   7.0181000e+01
   4.1150000e+05   7.0308000e+01
   4.1250000e+05   7.0437000e+01
   4.1350000e+05   7.0565000e+01
   4.1450000e+05   7.0692000e+01
   4.1550000e+05   7.0821000e+01
   4.1650000e+05   7.0950000e+01
   4.1750000e+05   7.1078000e+01
