Reactor, in eV^-1 cm^-2 s^-1

    Energy [eV]         Flux 
   5.7544000e+05   2.0317000e+01
   5.8884000e+05   2.0317000e+01
   6.0256000e+05   2.0307000e+01
   6.1660000e+05   2.0291000e+01
   6.3096000e+05   2.0273000e+01
   6.4565000e+05   2.0255000e+01
   6.6069000e+05   2.0213000e+01
   6.7608000e+05   2.0138000e+01
   6.9183000e+05   2.0059000e+01
   7.0795000e+05   2.0004000e+01
   7.2444000e+05   2.0000000e+01
   7.4131000e+05   1.9995000e+01
   7.5858000e+05   1.9935000e+01
   7.7625000e+05   1.9817000e+01
   7.9433000e+05   1.9695000e+01
   8.1283000e+05   1.9569000e+01
   8.3176000e+05   1.9439000e+01
   8.5114000e+05   1.9328000e+01
   8.7096000e+05   1.9220000e+01
   8.9125000e+05   1.9108000e+01
   9.1201000e+05   1.8993000e+01
   9.3325000e+05   1.8873000e+01
   9.5499000e+05   1.8753000e+01
   9.7724000e+05   1.8628000e+01
   1.0000000e+06   1.8499000e+01
   1.0233000e+06   1.8228000e+01
   1.0471000e+06   1.7930000e+01
   1.0715000e+06   1.7615000e+01
   1.0965000e+06   1.7258000e+01
   1.1220000e+06   1.6891000e+01
   1.1482000e+06   1.6421000e+01
   1.1749000e+06   1.5925000e+01
   1.2023000e+06   1.5487000e+01
   1.2303000e+06   1.5062000e+01
   1.2589000e+06   1.4639000e+01
   1.2882000e+06   1.4309000e+01
   1.3183000e+06   1.3972000e+01
   1.3490000e+06   1.3627000e+01
   1.3804000e+06   1.3273000e+01
   1.4125000e+06   1.2909000e+01
   1.4454000e+06   1.2536000e+01
   1.4791000e+06   1.2153000e+01
   1.5136000e+06   1.1838000e+01
   1.5488000e+06   1.1637000e+01
   1.5849000e+06   1.1431000e+01
   1.6218000e+06   1.1221000e+01
   1.6596000e+06   1.1005000e+01
   1.6982000e+06   1.0784000e+01
   1.7378000e+06   1.0559000e+01
   1.7783000e+06   1.0327000e+01
   1.8197000e+06   1.0091000e+01
   1.8621000e+06   9.8484000e+00
   1.9055000e+06   9.6003000e+00
   1.9498000e+06   9.3464000e+00
   1.9953000e+06   9.0864000e+00
   2.0417000e+06   8.8357000e+00
   2.0893000e+06   8.5816000e+00
   2.1380000e+06   8.3222000e+00
   2.1878000e+06   8.0574000e+00
   2.2387000e+06   7.7872000e+00
   2.2909000e+06   7.4944000e+00
   2.3442000e+06   7.1900000e+00
   2.3988000e+06   6.8785000e+00
   2.4547000e+06   6.5598000e+00
   2.5119000e+06   6.2567000e+00
   2.5704000e+06   6.0371000e+00
   2.6303000e+06   5.8133000e+00
   2.6915000e+06   5.5854000e+00
   2.7542000e+06   5.3548000e+00
   2.8184000e+06   5.1415000e+00
   2.8840000e+06   4.9233000e+00
   2.9512000e+06   4.6998000e+00
   3.0200000e+06   4.4767000e+00
   3.0903000e+06   4.2628000e+00
   3.1623000e+06   4.0437000e+00
   3.2359000e+06   3.8194000e+00
   3.3113000e+06   3.6139000e+00
   3.3884000e+06   3.4100000e+00
   3.4674000e+06   3.2023000e+00
   3.5481000e+06   2.9987000e+00
   3.6308000e+06   2.7966000e+00
   3.7154000e+06   2.5907000e+00
   3.8019000e+06   2.4013000e+00
   3.8905000e+06   2.2220000e+00
   3.9811000e+06   2.0391000e+00
   4.0738000e+06   1.8774000e+00
   4.1687000e+06   1.7194000e+00
   4.2658000e+06   1.5612000e+00
   4.3652000e+06   1.4145000e+00
   4.4668000e+06   1.2655000e+00
   4.5709000e+06   1.1357000e+00
   4.6774000e+06   1.0147000e+00
   4.7863000e+06   9.0333000e-01
   4.8978000e+06   8.1313000e-01
   5.0119000e+06   7.2378000e-01
   5.1286000e+06   6.5006000e-01
   5.2481000e+06   5.7553000e-01
   5.3703000e+06   5.0465000e-01
   5.4954000e+06   4.3312000e-01
   5.6234000e+06   3.8543000e-01
   5.7544000e+06   3.3836000e-01
   5.8884000e+06   2.9074000e-01
   6.0256000e+06   2.4475000e-01
   6.1660000e+06   2.0589000e-01
   6.3096000e+06   1.7252000e-01
   6.4565000e+06   1.4710000e-01
   6.6069000e+06   1.2447000e-01
   6.7608000e+06   1.0294000e-01
   6.9183000e+06   8.3473000e-02
   7.0795000e+06   6.5004000e-02
   7.2444000e+06   4.7695000e-02
   7.4131000e+06   3.5934000e-02
   7.5858000e+06   2.6186000e-02
   7.7625000e+06   1.8185000e-02
   7.9433000e+06   1.2326000e-02
